Shaknspin W&F meter
Session:;trchnics 1500.CSV
Device:;6985321910C4EB9E-058
Avg Speed:;33.385
Avg Speed Dev:;00.17%
Var. Min:;33.31
Var. Max:;33.46
Var. Min%:;-0.235%
Var. Max%:;+0.233%
HighPass Min:;33.31
HighPass Max:;33.47
W&F peak:;0.097
W&F peak 2s:;0.088
W&F DIN:;0.035
W&F WRMS:;0.007
W&F RMS:;0.02
Jitter%:;0.230
Wow:;0.05
Flutter:;0.02
Freq1 (Hz):;00.610
Freq2 (Hz):;03.662

Speed trace (de-noised) in 2mS intervals
Frequency in Hz

Time;Speed;Freq;Magnitude
550;33.343;33.813;00.079
552;33.336;33.936;00.063
554;33.349;34.058;00.063
556;33.375;34.18;00.047
558;33.377;34.302;00.053
560;33.391;34.424;00.044
562;33.377;34.546;00.018
564;33.35;34.668;00.089
566;33.33;34.79;00.053
568;33.327;34.912;00.07
570;33.337;35.034;00.075
572;33.346;35.156;00.053
574;33.369;35.278;00.061
576;33.366;35.4;00.106
578;33.331;35.522;00.033
580;33.312;35.645;00.136
582;33.349;35.767;00.06
584;33.382;35.889;00.071
586;33.336;36.011;00.063
588;33.358;36.133;00.046
590;33.353;36.255;00.063
592;33.371;36.377;00.103
594;33.382;36.499;00.077
596;33.393;36.621;00.096
598;33.429;36.743;00.059
600;33.36;36.865;00.019
602;33.366;36.987;00.051
604;33.406;37.109;00.065
606;33.429;37.231;00.03
608;33.366;37.354;00.047
610;33.377;37.476;00.078
612;33.366;37.598;00.06
614;33.369;37.72;00.061
616;33.369;37.842;00.056
618;33.355;37.964;00.087
620;33.371;38.086;00.134
622;33.356;38.208;00.084
624;33.347;38.33;00.041
626;33.378;38.452;00.013
628;33.359;38.574;00.043
630;33.377;38.696;00.023
632;33.384;38.818;00.02
634;33.387;38.94;00.016
636;33.391;39.062;00.048
638;33.371;39.185;00.078
640;33.377;39.307;00.052
642;33.369;39.429;00.048
644;33.365;39.551;00.078
646;33.377;39.673;00.065
648;33.398;39.795;00.07
650;33.381;39.917;00.064
652;33.379;40.039;00.047
654;33.371;40.161;00.022
656;33.346;40.283;00.059
658;33.369;40.405;00.05
660;33.384;40.527;00.137
662;33.377;40.649;00.076
664;33.382;40.771;00.014
666;33.371;40.894;00.022
668;33.371;41.016;00.063
670;33.353;41.138;00.054
672;33.36;41.26;00.05
674;33.394;41.382;00.042
676;33.4;41.504;00.049
678;33.394;41.626;00.086
680;33.394;41.748;00.079
682;33.409;41.87;00.067
684;33.407;41.992;00.053
686;33.391;42.114;00.008
688;33.409;42.236;00.039
690;33.412;42.358;00.063
692;33.407;42.48;00.142
694;33.4;42.603;00.126
696;33.396;42.725;00.042
698;33.396;42.847;00.054
700;33.368;42.969;00.14
702;33.384;43.091;00.106
704;33.368;43.213;00.008
706;33.385;43.335;00.02
708;33.401;43.457;00.033
710;33.366;43.579;00.09
712;33.409;43.701;00.092
714;33.39;43.823;00.047
716;33.391;43.945;00.034
718;33.397;44.067;00.027
720;33.363;44.189;00.031
722;33.393;44.312;00.087
724;33.387;44.434;00.106
726;33.413;44.556;00.054
728;33.423;44.678;00.014
730;33.394;44.8;00.048
732;33.409;44.922;00.055
734;33.39;45.044;00.028
736;33.391;45.166;00.033
738;33.391;45.288;00.093
740;33.407;45.41;00.103
742;33.407;45.532;00.065
744;33.407;45.654;00.06
746;33.416;45.776;00.039
748;33.384;45.898;00.063
750;33.378;46.021;00.102
752;33.388;46.143;00.056
754;33.398;46.265;00.037
756;33.4;46.387;00.016
758;33.425;46.509;00.027
760;33.371;46.631;00.044
762;33.359;46.753;00.038
764;33.368;46.875;00.025
766;33.381;46.997;00.039
768;33.355;47.119;00.026
770;33.394;47.241;00.048
772;33.394;47.363;00.029
774;33.358;47.485;00.021
776;33.371;47.607;00.105
778;33.375;47.729;00.083
780;33.352;47.852;00.086
782;33.394;47.974;00.106
784;33.398;48.096;00.093
786;33.401;48.218;00.129
788;33.434;48.34;00.107
790;33.416;48.462;00.076
792;33.429;48.584;00.03
794;33.426;48.706;00.049
796;33.406;48.828;00.036
798;33.391;48.95;00.045
800;33.406;49.072;00.016
802;33.413;49.194;00.033
804;33.397;49.316;00.035
806;33.381;49.438;00.039
808;33.409;49.561;00.025
810;33.384;49.683;00.047
812;33.371;49.805;00.05
814;33.359;49.927;00.727
816;33.391;50.049;00.248
818;33.409;50.171;01.117
820;33.359;50.293;02.25
822;33.371
824;33.371
826;33.379
828;33.382
830;33.372
832;33.378
834;33.417
836;33.401
838;33.394
840;33.4
842;33.403
844;33.393
846;33.384
848;33.359
850;33.365
852;33.394
854;33.39
856;33.39
858;33.397
860;33.4
862;33.388
864;33.381
866;33.375
868;33.363
870;33.375
872;33.393
874;33.407
876;33.436
878;33.417
880;33.406
882;33.381
884;33.409
886;33.398
888;33.397
890;33.378
892;33.375
894;33.363
896;33.374
898;33.379
900;33.388
902;33.394
904;33.398
906;33.409
908;33.391
910;33.382
912;33.393
914;33.409
916;33.415
918;33.4
920;33.409
922;33.39
924;33.401
926;33.41
928;33.407
930;33.425
932;33.4
934;33.396
936;33.409
938;33.396
940;33.404
942;33.401
944;33.4
946;33.398
948;33.393
950;33.4
952;33.4
954;33.397
956;33.412
958;33.387
960;33.406
962;33.391
964;33.415
966;33.4
968;33.407
970;33.396
972;33.404
974;33.388
976;33.42
978;33.431
980;33.403
982;33.438
984;33.39
986;33.4
988;33.39
990;33.401
992;33.404
994;33.387
996;33.368
998;33.396
1000;33.42
1002;33.428
1004;33.397
1006;33.393
1008;33.41
1010;33.431
1012;33.403
1014;33.423
1016;33.41
1018;33.396
1020;33.396
1022;33.412
1024;33.412
1026;33.41
1028;33.434
1030;33.425
1032;33.375
1034;33.375
1036;33.434
1038;33.396
1040;33.412
1042;33.401
1044;33.388
1046;33.379
1048;33.393
1050;33.391
1052;33.4
1054;33.375
1056;33.349
1058;33.384
1060;33.39
1062;33.368
1064;33.409
1066;33.397
1068;33.401
1070;33.374
1072;33.382
1074;33.4
1076;33.423
1078;33.406
1080;33.387
1082;33.397
1084;33.39
1086;33.379
1088;33.398
1090;33.369
1092;33.387
1094;33.388
1096;33.369
1098;33.419
1100;33.417
1102;33.406
1104;33.398
1106;33.412
1108;33.42
1110;33.401
1112;33.385
1114;33.398
1116;33.422
1118;33.415
1120;33.39
1122;33.387
1124;33.377
1126;33.366
1128;33.363
1130;33.372
1132;33.365
1134;33.393
1136;33.385
1138;33.375
1140;33.366
1142;33.415
1144;33.419
1146;33.409
1148;33.375
1150;33.385
1152;33.4
1154;33.406
1156;33.393
1158;33.4
1160;33.384
1162;33.394
1164;33.381
1166;33.393
1168;33.388
1170;33.388
1172;33.379
1174;33.381
1176;33.398
1178;33.404
1180;33.394
1182;33.401
1184;33.401
1186;33.385
1188;33.39
1190;33.417
1192;33.404
1194;33.42
1196;33.406
1198;33.391
1200;33.404
1202;33.393
1204;33.387
1206;33.39
1208;33.404
1210;33.4
1212;33.4
1214;33.379
1216;33.416
1218;33.423
1220;33.425
1222;33.4
1224;33.362
1226;33.385
1228;33.409
1230;33.394
1232;33.393
1234;33.377
1236;33.365
1238;33.396
1240;33.387
1242;33.366
1244;33.378
1246;33.36
1248;33.407
1250;33.371
1252;33.388
1254;33.42
1256;33.416
1258;33.4
1260;33.378
1262;33.371
1264;33.36
1266;33.356
1268;33.384
1270;33.394
1272;33.417
1274;33.403
1276;33.374
1278;33.369
1280;33.406
1282;33.403
1284;33.384
1286;33.382
1288;33.369
1290;33.39
1292;33.39
1294;33.397
1296;33.396
1298;33.385
1300;33.365
1302;33.382
1304;33.363
1306;33.371
1308;33.401
1310;33.416
1312;33.398
1314;33.417
1316;33.4
1318;33.372
1320;33.384
1322;33.381
1324;33.393
1326;33.409
1328;33.382
1330;33.393
1332;33.379
1334;33.403
1336;33.387
1338;33.419
1340;33.396
1342;33.382
1344;33.404
1346;33.382
1348;33.415
1350;33.397
1352;33.393
1354;33.413
1356;33.406
1358;33.378
1360;33.377
1362;33.362
1364;33.41
1366;33.406
1368;33.372
1370;33.377
1372;33.371
1374;33.377
1376;33.407
1378;33.377
1380;33.375
1382;33.355
1384;33.369
1386;33.398
1388;33.359
1390;33.347
1392;33.358
1394;33.368
1396;33.394
1398;33.352
1400;33.379
1402;33.391
1404;33.394
1406;33.391
1408;33.355
1410;33.381
1412;33.409
1414;33.39
1416;33.382
1418;33.391
1420;33.406
1422;33.379
1424;33.368
1426;33.365
1428;33.396
1430;33.388
1432;33.377
1434;33.374
1436;33.371
1438;33.382
1440;33.393
1442;33.404
1444;33.403
1446;33.385
1448;33.393
1450;33.397
1452;33.394
1454;33.388
1456;33.369
1458;33.382
1460;33.374
1462;33.4
1464;33.416
1466;33.398
1468;33.358
1470;33.382
1472;33.366
1474;33.368
1476;33.39
1478;33.404
1480;33.397
1482;33.41
1484;33.409
1486;33.419
1488;33.41
1490;33.388
1492;33.39
1494;33.432
1496;33.417
1498;33.407
1500;33.41
1502;33.388
1504;33.378
1506;33.362
1508;33.369
1510;33.393
1512;33.363
1514;33.374
1516;33.355
1518;33.352
1520;33.419
1522;33.401
1524;33.371
1526;33.377
1528;33.384
1530;33.388
1532;33.397
1534;33.375
1536;33.403
1538;33.377
1540;33.385
1542;33.369
1544;33.365
1546;33.385
1548;33.379
1550;33.381
1552;33.396
1554;33.415
1556;33.381
1558;33.394
1560;33.371
1562;33.41
1564;33.366
1566;33.388
1568;33.39
1570;33.396
1572;33.396
1574;33.39
1576;33.393
1578;33.396
1580;33.397
1582;33.388
1584;33.397
1586;33.422
1588;33.388
1590;33.385
1592;33.387
1594;33.409
1596;33.394
1598;33.388
1600;33.412
1602;33.393
1604;33.378
1606;33.415
1608;33.406
1610;33.409
1612;33.372
1614;33.36
1616;33.391
1618;33.382
1620;33.378
1622;33.387
1624;33.39
1626;33.36
1628;33.385
1630;33.375
1632;33.39
1634;33.391
1636;33.378
1638;33.398
1640;33.391
1642;33.396
1644;33.391
1646;33.401
1648;33.385
1650;33.36
1652;33.377
1654;33.393
1656;33.365
1658;33.365
1660;33.4
1662;33.396
1664;33.387
1666;33.382
1668;33.368
1670;33.391
1672;33.375
1674;33.353
1676;33.366
1678;33.388
1680;33.374
1682;33.346
1684;33.346
1686;33.366
1688;33.384
1690;33.382
1692;33.391
1694;33.382
1696;33.384
1698;33.393
1700;33.368
1702;33.372
1704;33.398
1706;33.382
1708;33.388
1710;33.372
1712;33.4
1714;33.385
1716;33.34
1718;33.365
1720;33.366
1722;33.369
1724;33.39
1726;33.394
1728;33.374
1730;33.388
1732;33.374
1734;33.368
1736;33.347
1738;33.387
1740;33.365
1742;33.369
1744;33.368
1746;33.385
1748;33.396
1750;33.391
1752;33.368
1754;33.381
1756;33.409
1758;33.394
1760;33.385
1762;33.398
1764;33.397
1766;33.41
1768;33.391
1770;33.394
1772;33.401
1774;33.398
1776;33.387
1778;33.385
1780;33.396
1782;33.394
1784;33.384
1786;33.379
1788;33.387
1790;33.387
1792;33.379
1794;33.374
1796;33.352
1798;33.387
1800;33.381
1802;33.375
1804;33.388
1806;33.381
1808;33.368
1810;33.369
1812;33.374
1814;33.397
1816;33.439
1818;33.388
1820;33.384
1822;33.384
1824;33.385
1826;33.384
1828;33.393
1830;33.388
1832;33.356
1834;33.353
1836;33.413
1838;33.385
1840;33.379
1842;33.369
1844;33.372
1846;33.382
1848;33.362
1850;33.372
1852;33.379
1854;33.366
1856;33.365
1858;33.365
1860;33.375
1862;33.394
1864;33.384
1866;33.406
1868;33.39
1870;33.387
1872;33.394
1874;33.385
1876;33.401
1878;33.352
1880;33.379
1882;33.369
1884;33.381
1886;33.416
1888;33.371
1890;33.372
1892;33.391
1894;33.365
1896;33.388
1898;33.393
1900;33.397
1902;33.365
1904;33.378
1906;33.387
1908;33.4
1910;33.391
1912;33.355
1914;33.379
1916;33.384
1918;33.379
1920;33.385
1922;33.381
1924;33.369
1926;33.365
1928;33.366
1930;33.344
1932;33.363
1934;33.381
1936;33.377
1938;33.352
1940;33.365
1942;33.34
1944;33.355
1946;33.353
1948;33.363
1950;33.381
1952;33.4
1954;33.397
1956;33.384
1958;33.379
1960;33.359
1962;33.358
1964;33.39
1966;33.35
1968;33.368
1970;33.391
1972;33.404
1974;33.379
1976;33.394
1978;33.41
1980;33.363
1982;33.379
1984;33.377
1986;33.372
1988;33.391
1990;33.394
1992;33.39
1994;33.39
1996;33.396
1998;33.385
2000;33.39
2002;33.379
2004;33.391
2006;33.387
2008;33.387
2010;33.387
2012;33.368
2014;33.352
2016;33.366
2018;33.369
2020;33.375
2022;33.384
2024;33.359
2026;33.394
2028;33.378
2030;33.387
2032;33.358
2034;33.382
2036;33.394
2038;33.358
2040;33.362
2042;33.391
2044;33.401
2046;33.387
2048;33.372
2050;33.371
2052;33.368
2054;33.378
2056;33.394
2058;33.4
2060;33.365
2062;33.372
2064;33.393
2066;33.381
2068;33.394
2070;33.391
2072;33.377
2074;33.363
2076;33.355
2078;33.377
2080;33.378
2082;33.381
2084;33.396
2086;33.368
2088;33.381
2090;33.374
2092;33.377
2094;33.382
2096;33.409
2098;33.401
2100;33.407
2102;33.393
2104;33.384
2106;33.381
2108;33.355
2110;33.344
2112;33.398
2114;33.394
2116;33.391
2118;33.387
2120;33.401
2122;33.391
2124;33.378
2126;33.379
2128;33.384
2130;33.382
2132;33.377
2134;33.355
2136;33.374
2138;33.39
2140;33.365
2142;33.391
2144;33.374
2146;33.374
2148;33.382
2150;33.394
2152;33.39
2154;33.368
2156;33.359
2158;33.356
2160;33.394
2162;33.393
2164;33.391
2166;33.363
2168;33.377
2170;33.397
2172;33.375
2174;33.366
2176;33.372
2178;33.398
2180;33.369
2182;33.372
2184;33.33
2186;33.362
2188;33.369
2190;33.384
2192;33.385
2194;33.398
2196;33.397
2198;33.382
2200;33.347
2202;33.366
2204;33.396
2206;33.381
2208;33.374
2210;33.368
2212;33.371
2214;33.372
2216;33.396
2218;33.407
2220;33.406
2222;33.359
2224;33.346
2226;33.356
2228;33.404
2230;33.4
2232;33.384
2234;33.377
2236;33.382
2238;33.365
2240;33.365
2242;33.369
2244;33.343
2246;33.397
2248;33.378
2250;33.362
2252;33.384
2254;33.371
2256;33.382
2258;33.4
2260;33.404
2262;33.4
2264;33.431
2266;33.41
2268;33.35
2270;33.377
2272;33.378
2274;33.366
2276;33.394
2278;33.371
2280;33.36
2282;33.39
2284;33.387
2286;33.365
2288;33.4
2290;33.379
2292;33.409
2294;33.388
2296;33.384
2298;33.353
2300;33.353
2302;33.359
2304;33.378
2306;33.39
2308;33.372
2310;33.387
2312;33.397
2314;33.41
2316;33.379
2318;33.397
2320;33.381
2322;33.385
2324;33.39
2326;33.353
2328;33.391
2330;33.377
2332;33.397
2334;33.381
2336;33.371
2338;33.385
2340;33.4
2342;33.396
2344;33.404
2346;33.394
2348;33.388
2350;33.374
2352;33.382
2354;33.388
2356;33.397
2358;33.381
2360;33.362
2362;33.346
2364;33.36
2366;33.394
2368;33.396
2370;33.416
2372;33.388
2374;33.393
2376;33.393
2378;33.368
2380;33.346
2382;33.366
2384;33.388
2386;33.381
2388;33.36
2390;33.382
2392;33.394
2394;33.385
2396;33.377
2398;33.375
2400;33.365
2402;33.359
2404;33.365
2406;33.381
2408;33.393
2410;33.398
2412;33.39
2414;33.384
2416;33.375
2418;33.362
2420;33.385
2422;33.387
2424;33.381
2426;33.36
2428;33.365
2430;33.375
2432;33.382
2434;33.378
2436;33.39
2438;33.374
2440;33.366
2442;33.374
2444;33.382
2446;33.384
2448;33.4
2450;33.401
2452;33.393
2454;33.388
2456;33.382
2458;33.356
2460;33.388
2462;33.394
2464;33.374
2466;33.359
2468;33.377
2470;33.385
2472;33.423
2474;33.388
2476;33.368
2478;33.372
2480;33.387
2482;33.358
2484;33.347
2486;33.381
2488;33.401
2490;33.363
2492;33.412
2494;33.403
2496;33.388
2498;33.387
2500;33.378
2502;33.356
2504;33.379
2506;33.375
2508;33.371
2510;33.4
2512;33.374
2514;33.393
2516;33.365
2518;33.359
2520;33.404
2522;33.404
2524;33.393
2526;33.387
2528;33.356
2530;33.371
2532;33.381
2534;33.391
2536;33.381
2538;33.371
2540;33.388
2542;33.391
2544;33.391
2546;33.382
2548;33.393
2550;33.39
2552;33.377
2554;33.393
2556;33.391
2558;33.409
2560;33.39
2562;33.394
2564;33.413
2566;33.406
2568;33.413
2570;33.41
2572;33.388
2574;33.391
2576;33.406
2578;33.371
2580;33.407
2582;33.416
2584;33.407
